epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1755.2,1.25116,2.03064,1.42645,0.62939,0.46167,0.51504,0.33225,1.4296,2.75102,1.62304,0.000553444,0.000553444,0.000553444
2,3290.22,1.28007,1.52359,1.42695,0.56769,0.49668,0.5208,0.32403,1.48296,2.32361,1.75397,0.00108715,0.00108715,0.00108715
3,4731.69,1.28767,1.41837,1.44109,0.54302,0.46186,0.45356,0.28129,1.66096,2.30626,1.82808,0.00159885,0.00159885,0.00159885
4,6174.35,1.25659,1.34209,1.422,0.67453,0.55365,0.59187,0.37736,1.46629,1.87903,1.66563,0.00156798,0.00156798,0.00156798
5,7588.69,1.2206,1.24684,1.3806,0.73926,0.59975,0.6706,0.45349,1.33689,1.54073,1.57913,0.00153497,0.00153497,0.00153497
6,9024.59,1.1839,1.18073,1.36379,0.71611,0.66449,0.70652,0.48475,1.27248,1.39042,1.46355,0.00150197,0.00150197,0.00150197
7,10514.3,1.14446,1.12808,1.33847,0.77182,0.66805,0.72284,0.50538,1.25242,1.4061,1.48091,0.00146896,0.00146896,0.00146896
8,12097.1,1.12291,1.09142,1.32184,0.76365,0.67753,0.73473,0.50337,1.24439,1.26728,1.44989,0.00143595,0.00143595,0.00143595
9,13952.4,1.10399,1.0593,1.3071,0.82356,0.69457,0.76117,0.53466,1.16804,1.24517,1.38598,0.00140295,0.00140295,0.00140295
10,2154.96,1.07889,1.02106,1.29854,0.81659,0.71614,0.78025,0.54473,1.1669,1.08863,1.38356,0.00136994,0.00136994,0.00136994
11,3958.33,1.04609,0.98294,1.26199,0.81837,0.7142,0.79519,0.56294,1.13994,1.09472,1.3645,0.00133693,0.00133693,0.00133693
12,5786.77,1.03236,0.95332,1.26052,0.80626,0.7268,0.78492,0.56906,1.07114,1.08962,1.32201,0.00130393,0.00130393,0.00130393
13,7901.77,1.02527,0.9384,1.25381,0.84744,0.72684,0.79827,0.56672,1.12582,1.02691,1.37382,0.00127092,0.00127092,0.00127092
